Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               175                      0               795728          0               

320X180         2               346                      1000            658959          311972          

320X180         3               375                      2000            271119          464927          

320X180         4               258                      3000            312418          262041          

320X180         5               304                      4000            315582          291662          

320X180         6               264                      6000            629757          216311          

320X180         7               329                      7000            316039          402028          

320X180         8               312                      8000            447758          374938          

320X180         9               206                      10000           343717          194316          

320X180         10              438                      11000           527189          529885          

320X180         11              296                      13000           489795          159096          

320X180         12              296                      15000           528911          320879          

320X180         13              667                      17000           640295          999669          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               173                      0               795728          0               

320X180         2               349                      1000            658959          311972          

320X180         3               375                      2000            271119          464927          

320X180         4               253                      3000            312418          262041          

320X180         5               302                      4000            315582          291662          

320X180         6               259                      6000            629757          216311          

320X180         7               329                      7000            316039          402028          

320X180         8               308                      8000            447758          374938          

320X180         9               205                      10000           343717          194316          

320X180         10              442                      11000           527189          529885          

320X180         11              286                      13000           489795          159096          

320X180         12              291                      15000           528911          320879          

320X180         13              675                      17000           640295          999669          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               173                      0               795728          0               

320X180         2               340                      1000            658959          311972          

320X180         3               374                      2000            271119          464927          

320X180         4               254                      3000            312418          262041          

320X180         5               306                      4000            315582          291662          

320X180         6               265                      6000            629757          216311          

320X180         7               342                      7000            316039          402028          

320X180         8               320                      8000            447758          374938          

320X180         9               211                      10000           343717          194316          

320X180         10              445                      11000           527189          529885          

320X180         11              295                      13000           489795          159096          

320X180         12              285                      15000           528911          320879          

320X180         13              656                      17000           640295          999669          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               181                      0               795728          0               

320X180         2               346                      1000            658959          311972          

320X180         3               375                      2000            271119          464927          

320X180         4               253                      3000            312418          262041          

320X180         5               318                      4000            315582          291662          

320X180         6               269                      6000            629757          216311          

320X180         7               333                      7000            316039          402028          

320X180         8               316                      8000            447758          374938          

320X180         9               204                      10000           343717          194316          

320X180         10              445                      11000           527189          529885          

320X180         11              295                      13000           489795          159096          

320X180         12              296                      15000           528911          320879          

320X180         13              683                      17000           640295          999669          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               185                      0               795728          0               

320X180         2               368                      1000            658959          311972          

320X180         3               406                      2000            271119          464927          

320X180         4               393                      3000            312418          262041          

320X180         5               418                      4000            315582          291662          

320X180         6               297                      6000            629757          216311          

320X180         7               347                      7000            316039          402028          

320X180         8               328                      8000            447758          374938          

320X180         9               216                      10000           343717          194316          

320X180         10              462                      11000           527189          529885          

320X180         11              306                      13000           489795          159096          

320X180         12              310                      15000           528911          320879          

320X180         13              684                      17000           640295          999669          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               176                      0               795728          0               

320X180         2               351                      1000            658959          311972          

320X180         3               391                      2000            271119          464927          

320X180         4               271                      3000            312418          262041          

320X180         5               320                      4000            315582          291662          

320X180         6               281                      6000            629757          216311          

320X180         7               349                      7000            316039          402028          

320X180         8               321                      8000            447758          374938          

320X180         9               206                      10000           343717          194316          

320X180         10              438                      11000           527189          529885          

320X180         11              286                      13000           489795          159096          

320X180         12              300                      15000           528911          320879          

320X180         13              671                      17000           640295          999669          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               175                      0               795728          0               

320X180         2               362                      1000            658959          311972          

320X180         3               397                      2000            271119          464927          

320X180         4               269                      3000            312418          262041          

320X180         5               321                      4000            315582          291662          

320X180         6               277                      6000            629757          216311          

320X180         7               348                      7000            316039          402028          

320X180         8               324                      8000            447758          374938          

320X180         9               215                      10000           343717          194316          

320X180         10              456                      11000           527189          529885          

320X180         11              305                      13000           489795          159096          

320X180         12              311                      15000           528911          320879          

320X180         13              706                      17000           640295          999669          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               183                      0               795728          0               

320X180         2               363                      1000            658959          311972          

320X180         3               398                      2000            271119          464927          

320X180         4               269                      3000            312418          262041          

320X180         5               313                      4000            315582          291662          

320X180         6               273                      6000            629757          216311          

320X180         7               342                      7000            316039          402028          

320X180         8               323                      8000            447758          374938          

320X180         9               216                      10000           343717          194316          

320X180         10              469                      11000           527189          529885          

320X180         11              309                      13000           489795          159096          

320X180         12              312                      15000           528911          320879          

320X180         13              693                      17000           640295          999669          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               181                      0               795728          0               

320X180         2               361                      1000            658959          311972          

320X180         3               386                      2000            271119          464927          

320X180         4               256                      3000            312418          262041          

320X180         5               316                      4000            315582          291662          

320X180         6               270                      6000            629757          216311          

