Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               204                      0               687057          0               

320X180         2               469                      1000            746490          275354          

320X180         3               459                      2000            376384          406049          

320X180         4               624                      3000            755948          467526          

320X180         5               537                      5000            641040          471390          

320X180         6               394                      6000            505403          288915          

320X180         7               1461                     7000            1399299         1233158         

320X180         8               339                      10000           247867          249788          

320X180         9               453                      11000           230224          303719          

320X180         10              721                      13000           877222          464911          

320X180         11              394                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               298                      0               687057          0               

320X180         2               480                      1000            746490          275354          

320X180         3               716                      2000            376384          406049          

320X180         4               793                      3000            755948          467526          

320X180         5               550                      5000            641040          471390          

320X180         6               406                      6000            505403          288915          

320X180         7               1548                     7000            1399299         1233158         

320X180         8               353                      10000           247867          249788          

320X180         9               451                      11000           230224          303719          

320X180         10              736                      13000           877222          464911          

320X180         11              410                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               210                      0               687057          0               

320X180         2               487                      1000            746490          275354          

320X180         3               488                      2000            376384          406049          

320X180         4               666                      3000            755948          467526          

320X180         5               577                      5000            641040          471390          

320X180         6               420                      6000            505403          288915          

320X180         7               1530                     7000            1399299         1233158         

320X180         8               342                      10000           247867          249788          

320X180         9               456                      11000           230224          303719          

320X180         10              751                      13000           877222          464911          

320X180         11              410                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               205                      0               687057          0               

320X180         2               475                      1000            746490          275354          

320X180         3               476                      2000            376384          406049          

320X180         4               650                      3000            755948          467526          

320X180         5               557                      5000            641040          471390          

320X180         6               405                      6000            505403          288915          

320X180         7               1463                     7000            1399299         1233158         

320X180         8               338                      10000           247867          249788          

320X180         9               450                      11000           230224          303719          

320X180         10              712                      13000           877222          464911          

320X180         11              398                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               211                      0               687057          0               

320X180         2               493                      1000            746490          275354          

320X180         3               491                      2000            376384          406049          

320X180         4               660                      3000            755948          467526          

320X180         5               568                      5000            641040          471390          

320X180         6               414                      6000            505403          288915          

320X180         7               1530                     7000            1399299         1233158         

320X180         8               344                      10000           247867          249788          

320X180         9               449                      11000           230224          303719          

320X180         10              732                      13000           877222          464911          

320X180         11              398                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               208                      0               687057          0               

320X180         2               482                      1000            746490          275354          

320X180         3               480                      2000            376384          406049          

320X180         4               649                      3000            755948          467526          

320X180         5               558                      5000            641040          471390          

320X180         6               404                      6000            505403          288915          

320X180         7               1522                     7000            1399299         1233158         

320X180         8               345                      10000           247867          249788          

320X180         9               451                      11000           230224          303719          

320X180         10              741                      13000           877222          464911          

320X180         11              407                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               209                      0               687057          0               

320X180         2               486                      1000            746490          275354          

320X180         3               487                      2000            376384          406049          

320X180         4               661                      3000            755948          467526          

320X180         5               561                      5000            641040          471390          

320X180         6               407                      6000            505403          288915          

320X180         7               1541                     7000            1399299         1233158         

320X180         8               344                      10000           247867          249788          

320X180         9               454                      11000           230224          303719          

320X180         10              761                      13000           877222          464911          

320X180         11              416                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               212                      0               687057          0               

320X180         2               498                      1000            746490          275354          

320X180         3               496                      2000            376384          406049          

320X180         4               668                      3000            755948          467526          

320X180         5               576                      5000            641040          471390          

320X180         6               420                      6000            505403          288915          

320X180         7               1559                     7000            1399299         1233158         

320X180         8               355                      10000           247867          249788          

320X180         9               463                      11000           230224          303719          

320X180         10              762                      13000           877222          464911          

320X180         11              418                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               211                      0               687057          0               

320X180         2               492                      1000            746490          275354          

320X180         3               491                      2000            376384          406049          

320X180         4               660                      3000            755948          467526          

320X180         5               573                      5000            641040          471390          

320X180         6               416                      6000            505403          288915          

320X180         7               1543                     7000            1399299         1233158         

320X180         8               353                      10000           247867          249788          

320X180         9               462                      11000           230224          303719          

320X180         10              748                      13000           877222          464911          

320X180         11              414                      17000           105117          492908          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               209                      0               687057          0               

320X180         2               493                      1000            746490          275354          

320X180         3               497                      2000            376384          406049          

320X180         4               674                      3000            755948          467526          

320X180         5               578                      5000            641040          471390          

320X180         6               419                      6000            505403          288915          

320X180         7               1568                     7000            1399299         1233158         

320X180         8               358                      10000           247867          249788          

320X180         9               463                      11000           230224          303719          

320X180         10              760                      13000           877222          464911          

320X180         11              418                      17000           105117          492908          

