Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               253                      0               935574          0               

320X180         2               326                      1000            789459          137688          

320X180         3               422                      2000            422027          379031          

320X180         4               536                      3000            770927          426388          

320X180         5               504                      4000            1110919         223406          

320X180         6               1143                     5000            1074328         1139609         

320X180         7               590                      7000            1537740         287788          

320X180         8               697                      8000            1479017         502837          

320X180         9               697                      9000            1123666         685442          

320X180         10              831                      10000           925990          909613          

320X180         11              755                      11000           1297341         770742          

320X180         12              1182                     13000           1549623         1265140         

320X180         13              638                      14000           1108864         479400          

320X180         14              682                      16000           1193374         648634          

320X180         15              683                      17000           1067844         689109          

320X180         16              488                      18000           518198          507440          

320X180         17              759                      19000           1343571         782133          

320X180         18              683                      20000           1204393         670549          

320X180         19              966                      21000           1587163         1006880         

320X180         20              1856                     22000           3119053         1912315         

320X180         21              707                      25000           897657          732246          

320X180         22              820                      26000           467400          1098295         

320X180         23              565                      28000           859740          460115          

320X180         24              576                      29000           1404266         365041          

320X180         25              421                      30000           857686          372712          

320X180         26              563                      32000           927745          463728          

320X180         27              849                      33000           423697          1103640         

320X180         28              2637                     35000           3717950         1545641         

320X180         29              1328                     39000           1013562         1296549         

320X180         30              666                      41000           916351          648674          

320X180         31              1003                     42000           1433096         919269          

320X180         32              970                      44000           1284562         1011575         

320X180         33              887                      45000           1143360         922305          

320X180         34              1137                     46000           1041961         1331727         

320X180         35              880                      48000           1419648         735003          

320X180         36              686                      50000           863947          663720          

320X180         37              1309                     51000           1045521         1434096         

320X180         38              593                      53000           495700          580317          

320X180         39              500                      54000           248571          529672          

320X180         40              387                      56000           553977          270011          

320X180         41              296                      57000           95839           314522          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               225                      0               935574          0               

320X180         2               306                      1000            789459          137688          

320X180         3               395                      2000            422027          379031          

320X180         4               521                      3000            770927          426388          

320X180         5               490                      4000            1110919         223406          

320X180         6               1142                     5000            1074328         1139609         

320X180         7               580                      7000            1537740         287788          

320X180         8               675                      8000            1479017         502837          

320X180         9               689                      9000            1123666         685442          

320X180         10              814                      10000           925990          909613          

320X180         11              783                      11000           1297341         770742          

320X180         12              1195                     13000           1549623         1265140         

320X180         13              616                      14000           1108864         479400          

320X180         14              678                      16000           1193374         648634          

320X180         15              676                      17000           1067844         689109          

320X180         16              473                      18000           518198          507440          

320X180         17              773                      19000           1343571         782133          

320X180         18              701                      20000           1204393         670549          

320X180         19              988                      21000           1587163         1006880         

320X180         20              1798                     22000           3119053         1912315         

320X180         21              680                      25000           897657          732246          

320X180         22              838                      26000           467400          1098295         

320X180         23              561                      28000           859740          460115          

320X180         24              606                      29000           1404266         365041          

320X180         25              452                      30000           857686          372712          

320X180         26              594                      32000           927745          463728          

320X180         27              873                      33000           423697          1103640         

320X180         28              2106                     35000           3717950         1545641         

320X180         29              1249                     39000           1013562         1296549         

320X180         30              636                      41000           916351          648674          

320X180         31              1000                     42000           1433096         919269          

320X180         32              967                      44000           1284562         1011575         

320X180         33              895                      45000           1143360         922305          

320X180         34              1125                     46000           1041961         1331727         

320X180         35              879                      48000           1419648         735003          

320X180         36              675                      50000           863947          663720          

320X180         37              1257                     51000           1045521         1434096         

320X180         38              577                      53000           495700          580317          

320X180         39              492                      54000           248571          529672          

320X180         40              399                      56000           553977          270011          

320X180         41              307                      57000           95839           314522          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               228                      0               935574          0               

320X180         2               317                      1000            789459          137688          

320X180         3               397                      2000            422027          379031          

320X180         4               517                      3000            770927          426388          

320X180         5               504                      4000            1110919         223406          

320X180         6               1157                     5000            1074328         1139609         

320X180         7               575                      7000            1537740         287788          

320X180         8               691                      8000            1479017         502837          

320X180         9               677                      9000            1123666         685442          

320X180         10              814                      10000           925990          909613          

320X180         11              748                      11000           1297341         770742          

320X180         12              1157                     13000           1549623         1265140         

320X180         13              638                      14000           1108864         479400          

320X180         14              709                      16000           1193374         648634          

320X180         15              719                      17000           1067844         689109          

320X180         16              477                      18000           518198          507440          

320X180         17              734                      19000           1343571         782133          

320X180         18              657                      20000           1204393         670549          

320X180         19              948                      21000           1587163         1006880         

320X180         20              1837                     22000           3119053         1912315         

320X180         21              915                      25000           897657          732246          

320X180         22              892                      26000           467400          1098295         

320X180         23              569                      28000           859740          460115          

320X180         24              599                      29000           1404266         365041          

320X180         25              434                      30000           857686          372712          

320X180         26              574                      32000           927745          463728          

320X180         27              887                      33000           423697          1103640         

320X180         28              2106                     35000           3717950         1545641         

320X180         29              1307                     39000           1013562         1296549         

320X180         30              657                      41000           916351          648674          

320X180         31              948                      42000           1433096         919269          

320X180         32              911                      44000           1284562         1011575         

320X180         33              840                      45000           1143360         922305          

320X180         34              1100                     46000           1041961         1331727         

320X180         35              847                      48000           1419648         735003          

320X180         36              659                      50000           863947          663720          

320X180         37              1242                     51000           1045521         1434096         

320X180         38              577                      53000           495700          580317          

320X180         39              492                      54000           248571          529672          

320X180         40              387                      56000           553977          270011          

320X180         41              293                      57000           95839           314522          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               237                      0               935574          0               

320X180         2               316                      1000            789459          137688          

320X180         3               402                      2000            422027          379031          

320X180         4               493                      3000            770927          426388          

320X180         5               467                      4000            1110919         223406          

320X180         6               1073                     5000            1074328         1139609         

320X180         7               559                      7000            1537740         287788          

320X180         8               674                      8000            1479017         502837          

320X180         9               671                      9000            1123666         685442          

320X180         10              805                      10000           925990          909613          

320X180         11              744                      11000           1297341         770742          

320X180         12              1134                     13000           1549623         1265140         

320X180         13              608                      14000           1108864         479400          

320X180         14              674                      16000           1193374         648634          

320X180         15              671                      17000           1067844         689109          

320X180         16              470                      18000           518198          507440          

320X180         17              762                      19000           1343571         782133          

320X180         18              668                      20000           1204393         670549          

320X180         19              945                      21000           1587163         1006880         

320X180         20              1805                     22000           3119053         1912315         

320X180         21              691                      25000           897657          732246          

320X180         22              854                      26000           467400          1098295         

320X180         23              583                      28000           859740          460115          

320X180         24              591                      29000           1404266         365041          

320X180         25              427                      30000           857686          372712          

320X180         26              566                      32000           927745          463728          

320X180         27              821                      33000           423697          1103640         

320X180         28              1997                     35000           3717950         1545641         

320X180         29              1253                     39000           1013562         1296549         

320X180         30              629                      41000           916351          648674          

320X180         31              926                      42000           1433096         919269          

320X180         32              899                      44000           1284562         1011575         

320X180         33              839                      45000           1143360         922305          

320X180         34              1072                     46000           1041961         1331727         

320X180         35              813                      48000           1419648         735003          

320X180         36              633                      50000           863947          663720          

320X180         37              1227                     51000           1045521         1434096         

320X180         38              577                      53000           495700          580317          

320X180         39              489                      54000           248571          529672          

320X180         40              391                      56000           553977          270011          

320X180         41              315                      57000           95839           314522          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               236                      0               935574          0               

320X180         2               329                      1000            789459          137688          

320X180         3               424                      2000            422027          379031          

320X180         4               533                      3000            770927          426388          

320X180         5               493                      4000            1110919         223406          

320X180         6               1129                     5000            1074328         1139609         

320X180         7               570                      7000            1537740         287788          

320X180         8               693                      8000            1479017         502837          

320X180         9               720                      9000            1123666         685442          

320X180         10              829                      10000           925990          909613          

320X180         11              754                      11000           1297341         770742          

320X180         12              1183                     13000           1549623         1265140         

320X180         13              628                      14000           1108864         479400          

320X180         14              697                      16000           1193374         648634          

320X180         15              704                      17000           1067844         689109          

320X180         16              482                      18000           518198          507440          

320X180         17              770                      19000           1343571         782133          

320X180         18              825                      20000           1204393         670549          

320X180         19              1200                     21000           1587163         1006880         

320X180         20              1817                     22000           3119053         1912315         

320X180         21              733                      25000           897657          732246          

320X180         22              889                      26000           467400          1098295         

320X180         23              591                      28000           859740          460115          

320X180         24              611                      29000           1404266         365041          

320X180         25              444                      30000           857686          372712          

320X180         26              547                      32000           927745          463728          

320X180         27              817                      33000           423697          1103640         

320X180         28              2050                     35000           3717950         1545641         

320X180         29              1256                     39000           1013562         1296549         

320X180         30              633                      41000           916351          648674          

320X180         31              953                      42000           1433096         919269          

320X180         32              914                      44000           1284562         1011575         

320X180         33              824                      45000           1143360         922305          

320X180         34              1062                     46000           1041961         1331727         

320X180         35              817                      48000           1419648         735003          

320X180         36              629                      50000           863947          663720          

320X180         37              1222                     51000           1045521         1434096         

320X180         38              550                      53000           495700          580317          

320X180         39              471                      54000           248571          529672          

320X180         40              385                      56000           553977          270011          

320X180         41              294                      57000           95839           314522          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               223                      0               935574          0               

320X180         2               313                      1000            789459          137688          

320X180         3               399                      2000            422027          379031          

320X180         4               503                      3000            770927          426388          

320X180         5               477                      4000            1110919         223406          

320X180         6               1101                     5000            1074328         1139609         

320X180         7               554                      7000            1537740         287788          

320X180         8               671                      8000            1479017         502837          

320X180         9               675                      9000            1123666         685442          

320X180         10              806                      10000           925990          909613          

320X180         11              728                      11000           1297341         770742          

320X180         12              1119                     13000           1549623         1265140         

320X180         13              610                      14000           1108864         479400          

320X180         14              664                      16000           1193374         648634          

320X180         15              701                      17000           1067844         689109          

320X180         16              477                      18000           518198          507440          

320X180         17              727                      19000           1343571         782133          

320X180         18              646                      20000           1204393         670549          

320X180         19              923                      21000           1587163         1006880         

320X180         20              1766                     22000           3119053         1912315         

320X180         21              683                      25000           897657          732246          

320X180         22              826                      26000           467400          1098295         

320X180         23              572                      28000           859740          460115          

320X180         24              586                      29000           1404266         365041          

320X180         25              417                      30000           857686          372712          

320X180         26              544                      32000           927745          463728          

320X180         27              814                      33000           423697          1103640         

320X180         28              2021                     35000           3717950         1545641         

320X180         29              1227                     39000           1013562         1296549         

320X180         30              618                      41000           916351          648674          

320X180         31              925                      42000           1433096         919269          

320X180         32              900                      44000           1284562         1011575         

320X180         33              834                      45000           1143360         922305          

320X180         34              1104                     46000           1041961         1331727         

320X180         35              860                      48000           1419648         735003          

320X180         36              673                      50000           863947          663720          

