Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               3008                     0               2755350         2752162         

320X180         2               721                      10000           752500          750157          

320X180         3               1374                     11000           1754570         1262757         

320X180         4               1549                     15000           1129115         1098223         

320X180         5               3782                     23000           6420116         3212501         

320X180         6               3055                     33000           2188090         2711001         

320X180         7               1278                     43000           1074490         1019755         

320X180         8               2593                     47000           2623932         2101812         

320X180         9               845                      56000           307064          579802          

320X180         10              667                      60000           525391          320748          

320X180         11              1514                     63000           1240661         1094308         

320X180         12              593                      69000           235102          631447          

320X180         13              342                      71000           168959          133370          

320X180         14              511                      73000           653103          239107          

320X180         15              2085                     75000           2405104         2343186         

320X180         16              2540                     79000           1248916         2311625         

320X180         17              285                      89000           322873          90035           

320X180         18              1356                     91000           701924          839544          

320X180         19              54                       99000           5962            9893            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               3267                     0               2755350         2752162         

320X180         2               721                      10000           752500          750157          

320X180         3               1376                     11000           1754570         1262757         

320X180         4               1585                     15000           1129115         1098223         

320X180         5               3817                     23000           6420116         3212501         

320X180         6               3154                     33000           2188090         2711001         

320X180         7               1346                     43000           1074490         1019755         

320X180         8               2564                     47000           2623932         2101812         

320X180         9               879                      56000           307064          579802          

320X180         10              701                      60000           525391          320748          

320X180         11              1522                     63000           1240661         1094308         

320X180         12              588                      69000           235102          631447          

320X180         13              343                      71000           168959          133370          

320X180         14              515                      73000           653103          239107          

320X180         15              2124                     75000           2405104         2343186         

320X180         16              2518                     79000           1248916         2311625         

320X180         17              283                      89000           322873          90035           

320X180         18              1338                     91000           701924          839544          

320X180         19              54                       99000           5962            9893            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               3000                     0               2755350         2752162         

320X180         2               729                      10000           752500          750157          

320X180         3               1303                     11000           1754570         1262757         

320X180         4               1488                     15000           1129115         1098223         

320X180         5               3775                     23000           6420116         3212501         

320X180         6               3092                     33000           2188090         2711001         

320X180         7               1255                     43000           1074490         1019755         

320X180         8               2471                     47000           2623932         2101812         

320X180         9               827                      56000           307064          579802          

320X180         10              677                      60000           525391          320748          

320X180         11              1534                     63000           1240661         1094308         

320X180         12              608                      69000           235102          631447          

320X180         13              343                      71000           168959          133370          

320X180         14              512                      73000           653103          239107          

320X180         15              2109                     75000           2405104         2343186         

320X180         16              2499                     79000           1248916         2311625         

320X180         17              276                      89000           322873          90035           

320X180         18              1343                     91000           701924          839544          

320X180         19              54                       99000           5962            9893            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               3024                     0               2755350         2752162         

320X180         2               721                      10000           752500          750157          

320X180         3               1535                     11000           1754570         1262757         

320X180         4               1510                     15000           1129115         1098223         

