Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               329                      0               775366          54122           

320X180         2               561                      1000            311321          341079          

320X180         3               531                      3000            267283          402826          

320X180         4               997                      5000            797449          731075          

320X180         5               744                      7000            657886          694500          

320X180         6               722                      9000            415861          740237          

320X180         7               752                      11000           543426          690583          

320X180         8               507                      12000           452297          483876          

320X180         9               508                      13000           620149          379576          

320X180         10              555                      14000           192103          620237          

320X180         11              553                      16000           449135          538667          

320X180         12              401                      17000           326877          392389          

320X180         13              669                      19000           749811          405341          

320X180         14              681                      20000           322546          878294          

320X180         15              383                      22000           354046          248373          

320X180         16              1185                     23000           497748          965518          

320X180         17              323                      27000           104998          247856          

320X180         18              314                      28000           595122          134374          

320X180         19              621                      29000           781183          555834          

320X180         20              898                      31000           735793          932035          

320X180         21              667                      33000           853004          523394          

320X180         22              501                      35000           418552          462264          

320X180         23              526                      36000           827420          409301          

320X180         24              529                      37000           299448          618023          

320X180         25              341                      38000           313784          300468          

320X180         26              417                      39000           422740          333153          

320X180         27              434                      40000           501348          358340          

320X180         28              266                      42000           564264          108877          

320X180         29              588                      43000           417449          691131          

320X180         30              574                      44000           552053          534511          

320X180         31              776                      45000           530747          704117          

320X180         32              660                      48000           681495          440187          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               423                      0               775366          54122           

320X180         2               532                      1000            311321          341079          

320X180         3               497                      3000            267283          402826          

320X180         4               951                      5000            797449          731075          

320X180         5               739                      7000            657886          694500          

320X180         6               714                      9000            415861          740237          

320X180         7               732                      11000           543426          690583          

320X180         8               499                      12000           452297          483876          

320X180         9               507                      13000           620149          379576          

320X180         10              548                      14000           192103          620237          

320X180         11              581                      16000           449135          538667          

320X180         12              424                      17000           326877          392389          

320X180         13              704                      19000           749811          405341          

320X180         14              698                      20000           322546          878294          

320X180         15              401                      22000           354046          248373          

320X180         16              1226                     23000           497748          965518          

320X180         17              334                      27000           104998          247856          

320X180         18              320                      28000           595122          134374          

320X180         19              605                      29000           781183          555834          

320X180         20              904                      31000           735793          932035          

320X180         21              698                      33000           853004          523394          

320X180         22              519                      35000           418552          462264          

320X180         23              530                      36000           827420          409301          

320X180         24              530                      37000           299448          618023          

320X180         25              333                      38000           313784          300468          

320X180         26              399                      39000           422740          333153          

320X180         27              418                      40000           501348          358340          

320X180         28              263                      42000           564264          108877          

320X180         29              581                      43000           417449          691131          

320X180         30              573                      44000           552053          534511          

320X180         31              779                      45000           530747          704117          

