Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      
320X180         2               582                      9000            106311          505279          

320X180         3               654                      12000           869910          423247          

320X180         4               363                      14000           229217          389269          

320X180         5               447                      15000           580391          366078          

320X180         6               822                      16000           330577          792760          

320X180         7               986                      19000           698475          800281          

320X180         8               302                      24000           143448          206570          

320X180         9               321                      25000           386823          170108          

320X180         10              354                      27000           198863          399721          

320X180         11              813                      28000           1079178         720877          

320X180         12              842                      31000           1012956         826593          

320X180         13              1786                     33000           1086477         1785450         

320X180         14              551                      40000           519122          420386          

320X180         15              510                      43000           523607          147331          

320X180         16              1244                     46000           1034050         866018          

320X180         17              526                      49000           191773          465805          

320X180         18              2094                     52000           1388117         1693643         

320X180         19              466                      62000           779097          325819          

320X180         20              2417                     63000           2074580         3007596         

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               2264                     0               3039612         1696132         

320X180         2               573                      9000            106311          505279          

320X180         3               639                      12000           869910          423247          

320X180         4               369                      14000           229217          389269          

320X180         5               460                      15000           580391          366078          

320X180         6               850                      16000           330577          792760          

320X180         7               1041                     19000           698475          800281          

320X180         8               301                      24000           143448          206570          

320X180         9               323                      25000           386823          170108          

320X180         10              360                      27000           198863          399721          

320X180         11              816                      28000           1079178         720877          

320X180         12              820                      31000           1012956         826593          

320X180         13              1818                     33000           1086477         1785450         

320X180         14              570                      40000           519122          420386          

320X180         15              414                      43000           523607          147331          

320X180         16              984                      46000           1034050         866018          

320X180         17              525                      49000           191773          465805          

320X180         18              2139                     52000           1388117         1693643         

320X180         19              475                      62000           779097          325819          

320X180         20              2488                     63000           2074580         3007596         

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               2293                     0               3039612         1696132         

320X180         2               606                      9000            106311          505279          

320X180         3               665                      12000           869910          423247          

320X180         4               359                      14000           229217          389269          

320X180         5               434                      15000           580391          366078          

320X180         6               814                      16000           330577          792760          

320X180         7               986                      19000           698475          800281          

320X180         8               302                      24000           143448          206570          

320X180         9               320                      25000           386823          170108          

320X180         10              353                      27000           198863          399721          

320X180         11              820                      28000           1079178         720877          

320X180         12              803                      31000           1012956         826593          

320X180         13              1779                     33000           1086477         1785450         

320X180         14              555                      40000           519122          420386          

320X180         15              411                      43000           523607          147331          

320X180         16              968                      46000           1034050         866018          

320X180         17              520                      49000           191773          465805          

320X180         18              2069                     52000           1388117         1693643         

320X180         19              461                      62000           779097          325819          

320X180         20              2390                     63000           2074580         3007596         

