Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               293                      0               926268          0               

320X180         2               420                      1000            376676          337248          

320X180         3               566                      2000            576182          529897          

320X180         4               652                      3000            169886          705377          

320X180         5               178                      5000            300662          65442           

320X180         6               497                      6000            954408          339668          

320X180         7               882                      7000            627746          1097529         

320X180         8               524                      9000            703290          485109          

320X180         9               415                      10000           382945          267192          

320X180         10              495                      11000           162393          673508          

320X180         11              546                      12000           320834          502763          

320X180         12              755                      14000           668309          542482          

320X180         13              621                      16000           772603          574674          

320X180         14              662                      17000           456091          739905          

320X180         15              937                      18000           1070130         902958          

320X180         16              1661                     20000           1749542         1734496         

320X180         17              512                      24000           486427          618379          

320X180         18              595                      25000           751509          589904          

320X180         19              675                      27000           366677          818119          

320X180         20              470                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               240                      0               926268          0               

320X180         2               421                      1000            376676          337248          

320X180         3               572                      2000            576182          529897          

320X180         4               655                      3000            169886          705377          

320X180         5               168                      5000            300662          65442           

320X180         6               475                      6000            954408          339668          

320X180         7               858                      7000            627746          1097529         

320X180         8               503                      9000            703290          485109          

320X180         9               402                      10000           382945          267192          

320X180         10              477                      11000           162393          673508          

320X180         11              534                      12000           320834          502763          

320X180         12              746                      14000           668309          542482          

320X180         13              626                      16000           772603          574674          

320X180         14              659                      17000           456091          739905          

320X180         15              917                      18000           1070130         902958          

320X180         16              1632                     20000           1749542         1734496         

320X180         17              518                      24000           486427          618379          

320X180         18              600                      25000           751509          589904          

320X180         19              679                      27000           366677          818119          

320X180         20              465                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               245                      0               926268          0               

320X180         2               417                      1000            376676          337248          

320X180         3               563                      2000            576182          529897          

320X180         4               635                      3000            169886          705377          

320X180         5               177                      5000            300662          65442           

320X180         6               481                      6000            954408          339668          

320X180         7               837                      7000            627746          1097529         

320X180         8               495                      9000            703290          485109          

320X180         9               401                      10000           382945          267192          

320X180         10              471                      11000           162393          673508          

320X180         11              535                      12000           320834          502763          

320X180         12              735                      14000           668309          542482          

320X180         13              619                      16000           772603          574674          

320X180         14              645                      17000           456091          739905          

320X180         15              914                      18000           1070130         902958          

320X180         16              1648                     20000           1749542         1734496         

320X180         17              523                      24000           486427          618379          

320X180         18              599                      25000           751509          589904          

320X180         19              687                      27000           366677          818119          

320X180         20              456                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               238                      0               926268          0               

320X180         2               419                      1000            376676          337248          

320X180         3               548                      2000            576182          529897          

320X180         4               635                      3000            169886          705377          

320X180         5               174                      5000            300662          65442           

320X180         6               481                      6000            954408          339668          

320X180         7               844                      7000            627746          1097529         

320X180         8               507                      9000            703290          485109          

320X180         9               410                      10000           382945          267192          

320X180         10              480                      11000           162393          673508          

320X180         11              547                      12000           320834          502763          

320X180         12              748                      14000           668309          542482          

320X180         13              626                      16000           772603          574674          

320X180         14              653                      17000           456091          739905          

320X180         15              896                      18000           1070130         902958          

320X180         16              1621                     20000           1749542         1734496         

320X180         17              509                      24000           486427          618379          

320X180         18              587                      25000           751509          589904          

320X180         19              666                      27000           366677          818119          

320X180         20              459                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               245                      0               926268          0               

320X180         2               431                      1000            376676          337248          

320X180         3               567                      2000            576182          529897          

320X180         4               617                      3000            169886          705377          

320X180         5               171                      5000            300662          65442           

320X180         6               469                      6000            954408          339668          

320X180         7               832                      7000            627746          1097529         

320X180         8               498                      9000            703290          485109          

320X180         9               391                      10000           382945          267192          

320X180         10              468                      11000           162393          673508          

320X180         11              530                      12000           320834          502763          

320X180         12              742                      14000           668309          542482          

320X180         13              618                      16000           772603          574674          

320X180         14              1236                     17000           456091          739905          

320X180         15              988                      18000           1070130         902958          

320X180         16              1685                     20000           1749542         1734496         

320X180         17              534                      24000           486427          618379          

320X180         18              616                      25000           751509          589904          

320X180         19              711                      27000           366677          818119          

320X180         20              484                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               242                      0               926268          0               

320X180         2               423                      1000            376676          337248          

320X180         3               575                      2000            576182          529897          

320X180         4               652                      3000            169886          705377          

320X180         5               178                      5000            300662          65442           

320X180         6               495                      6000            954408          339668          

320X180         7               891                      7000            627746          1097529         

320X180         8               528                      9000            703290          485109          

320X180         9               418                      10000           382945          267192          

320X180         10              486                      11000           162393          673508          

320X180         11              534                      12000           320834          502763          

320X180         12              742                      14000           668309          542482          

320X180         13              637                      16000           772603          574674          

320X180         14              676                      17000           456091          739905          

320X180         15              965                      18000           1070130         902958          

320X180         16              1661                     20000           1749542         1734496         

320X180         17              496                      24000           486427          618379          

320X180         18              581                      25000           751509          589904          

320X180         19              663                      27000           366677          818119          

320X180         20              457                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               254                      0               926268          0               

320X180         2               405                      1000            376676          337248          

320X180         3               552                      2000            576182          529897          

320X180         4               625                      3000            169886          705377          

320X180         5               176                      5000            300662          65442           

320X180         6               487                      6000            954408          339668          

320X180         7               851                      7000            627746          1097529         

320X180         8               499                      9000            703290          485109          

320X180         9               402                      10000           382945          267192          

320X180         10              475                      11000           162393          673508          

320X180         11              530                      12000           320834          502763          

320X180         12              776                      14000           668309          542482          

320X180         13              648                      16000           772603          574674          

320X180         14              671                      17000           456091          739905          

320X180         15              929                      18000           1070130         902958          

320X180         16              1677                     20000           1749542         1734496         

320X180         17              522                      24000           486427          618379          

320X180         18              605                      25000           751509          589904          

320X180         19              692                      27000           366677          818119          

320X180         20              482                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               244                      0               926268          0               

320X180         2               422                      1000            376676          337248          

320X180         3               578                      2000            576182          529897          

320X180         4               657                      3000            169886          705377          

320X180         5               182                      5000            300662          65442           

320X180         6               497                      6000            954408          339668          

320X180         7               890                      7000            627746          1097529         

320X180         8               527                      9000            703290          485109          

320X180         9               415                      10000           382945          267192          

320X180         10              493                      11000           162393          673508          

320X180         11              569                      12000           320834          502763          

320X180         12              785                      14000           668309          542482          

320X180         13              656                      16000           772603          574674          

320X180         14              692                      17000           456091          739905          

320X180         15              952                      18000           1070130         902958          

320X180         16              1690                     20000           1749542         1734496         

320X180         17              534                      24000           486427          618379          

320X180         18              614                      25000           751509          589904          

320X180         19              686                      27000           366677          818119          

320X180         20              470                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               240                      0               926268          0               

320X180         2               416                      1000            376676          337248          

320X180         3               553                      2000            576182          529897          

320X180         4               632                      3000            169886          705377          

320X180         5               173                      5000            300662          65442           

320X180         6               482                      6000            954408          339668          

320X180         7               851                      7000            627746          1097529         

320X180         8               515                      9000            703290          485109          

320X180         9               418                      10000           382945          267192          

320X180         10              496                      11000           162393          673508          

320X180         11              553                      12000           320834          502763          

320X180         12              738                      14000           668309          542482          

320X180         13              609                      16000           772603          574674          

320X180         14              668                      17000           456091          739905          

320X180         15              918                      18000           1070130         902958          

320X180         16              1608                     20000           1749542         1734496         

320X180         17              509                      24000           486427          618379          

320X180         18              579                      25000           751509          589904          

320X180         19              664                      27000           366677          818119          

320X180         20              458                      28000           643496          283875          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               232                      0               926268          0               

320X180         2               409                      1000            376676          337248          

320X180         3               559                      2000            576182          529897          

320X180         4               633                      3000            169886          705377          

320X180         5               225                      5000            300662          65442           

320X180         6               552                      6000            954408          339668          

320X180         7               920                      7000            627746          1097529         

320X180         8               514                      9000            703290          485109          

320X180         9               414                      10000           382945          267192          

320X180         10              495                      11000           162393          673508          

320X180         11              562                      12000           320834          502763          

320X180         12              771                      14000           668309          542482          

320X180         13              644                      16000           772603          574674          

320X180         14              681                      17000           456091          739905          

320X180         15              916                      18000           1070130         902958          

320X180         16              1603                     20000           1749542         1734496         

