Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               92                       0               256329          0               

320X180         2               443                      1000            325894          401866          

320X180         3               579                      3000            268261          609944          

320X180         4               405                      4000            414990          459887          

320X180         5               721                      5000            699243          672514          

320X180         6               1168                     7000            1250638         1362699         

320X180         7               981                      10000           930825          970467          

320X180         8               1466                     12000           1475622         1425982         

320X180         9               372                      15000           240949          365001          

320X180         10              1084                     16000           1094136         859399          

320X180         11              866                      20000           457841          716935          

320X180         12              398                      22000           730164          248497          

320X180         13              350                      23000           141969          348556          

320X180         14              549                      24000           585104          446770          

320X180         15              629                      26000           1109746         473035          

320X180         16              758                      27000           631111          826404          

320X180         17              720                      29000           1221043         467844          

320X180         18              679                      31000           451512          802219          

320X180         19              557                      32000           386564          443056          

320X180         20              255                      34000           131462          195383          

320X180         21              671                      35000           851757          431107          

320X180         22              623                      37000           562499          535254          

320X180         23              407                      38000           121405          407552          

320X180         24              448                      40000           427288          346467          

320X180         25              613                      41000           460556          536114          

320X180         26              565                      43000           146059          682624          

320X180         27              120                      44000           34276           97324           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               90                       0               256329          0               

320X180         2               433                      1000            325894          401866          

320X180         3               565                      3000            268261          609944          

320X180         4               403                      4000            414990          459887          

320X180         5               698                      5000            699243          672514          

320X180         6               1198                     7000            1250638         1362699         

320X180         7               967                      10000           930825          970467          

320X180         8               1424                     12000           1475622         1425982         

320X180         9               357                      15000           240949          365001          

320X180         10              1054                     16000           1094136         859399          

320X180         11              842                      20000           457841          716935          

320X180         12              388                      22000           730164          248497          

320X180         13              346                      23000           141969          348556          

320X180         14              539                      24000           585104          446770          

320X180         15              621                      26000           1109746         473035          

320X180         16              741                      27000           631111          826404          

320X180         17              698                      29000           1221043         467844          

320X180         18              671                      31000           451512          802219          

320X180         19              549                      32000           386564          443056          

320X180         20              257                      34000           131462          195383          

320X180         21              662                      35000           851757          431107          

320X180         22              600                      37000           562499          535254          

320X180         23              408                      38000           121405          407552          

320X180         24              453                      40000           427288          346467          

320X180         25              614                      41000           460556          536114          

320X180         26              572                      43000           146059          682624          

320X180         27              117                      44000           34276           97324           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               91                       0               256329          0               

320X180         2               429                      1000            325894          401866          

320X180         3               568                      3000            268261          609944          

320X180         4               400                      4000            414990          459887          

320X180         5               706                      5000            699243          672514          

320X180         6               1170                     7000            1250638         1362699         

320X180         7               956                      10000           930825          970467          

320X180         8               1426                     12000           1475622         1425982         

320X180         9               369                      15000           240949          365001          

320X180         10              1079                     16000           1094136         859399          

320X180         11              861                      20000           457841          716935          

320X180         12              393                      22000           730164          248497          

320X180         13              354                      23000           141969          348556          

320X180         14              557                      24000           585104          446770          

320X180         15              630                      26000           1109746         473035          

320X180         16              751                      27000           631111          826404          

320X180         17              710                      29000           1221043         467844          

320X180         18              682                      31000           451512          802219          

320X180         19              582                      32000           386564          443056          

320X180         20              547                      34000           131462          195383          

320X180         21              770                      35000           851757          431107          

320X180         22              606                      37000           562499          535254          

320X180         23              412                      38000           121405          407552          

320X180         24              446                      40000           427288          346467          

320X180         25              629                      41000           460556          536114          

320X180         26              575                      43000           146059          682624          

320X180         27              120                      44000           34276           97324           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               93                       0               256329          0               

320X180         2               442                      1000            325894          401866          

320X180         3               575                      3000            268261          609944          

320X180         4               401                      4000            414990          459887          

320X180         5               699                      5000            699243          672514          

320X180         6               1175                     7000            1250638         1362699         

320X180         7               1001                     10000           930825          970467          

320X180         8               1473                     12000           1475622         1425982         

320X180         9               376                      15000           240949          365001          

320X180         10              1090                     16000           1094136         859399          

320X180         11              877                      20000           457841          716935          

320X180         12              402                      22000           730164          248497          

320X180         13              358                      23000           141969          348556          

320X180         14              564                      24000           585104          446770          

320X180         15              639                      26000           1109746         473035          

320X180         16              768                      27000           631111          826404          

320X180         17              723                      29000           1221043         467844          

320X180         18              684                      31000           451512          802219          

320X180         19              558                      32000           386564          443056          

320X180         20              263                      34000           131462          195383          

320X180         21              670                      35000           851757          431107          

320X180         22              618                      37000           562499          535254          

