Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               53                       0               196223          0               

320X180         2               152                      1000            217286          45587           

320X180         3               295                      2000            613043          203880          

320X180         4               414                      3000            754553          428426          

320X180         5               443                      5000            946170          415257          

320X180         6               461                      7000            190080          717813          

320X180         7               527                      8000            231557          509456          

320X180         8               137                      10000           134755          64605           

320X180         9               205                      12000           180727          87548           

320X180         10              365                      13000           233209          265221          

320X180         11              337                      16000           348287          226823          

320X180         12              32                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               51                       0               196223          0               

320X180         2               147                      1000            217286          45587           

320X180         3               304                      2000            613043          203880          

320X180         4               402                      3000            754553          428426          

320X180         5               445                      5000            946170          415257          

320X180         6               453                      7000            190080          717813          

320X180         7               534                      8000            231557          509456          

320X180         8               140                      10000           134755          64605           

320X180         9               205                      12000           180727          87548           

320X180         10              360                      13000           233209          265221          

320X180         11              345                      16000           348287          226823          

320X180         12              33                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               50                       0               196223          0               

320X180         2               145                      1000            217286          45587           

320X180         3               296                      2000            613043          203880          

320X180         4               412                      3000            754553          428426          

320X180         5               441                      5000            946170          415257          

320X180         6               453                      7000            190080          717813          

320X180         7               528                      8000            231557          509456          

320X180         8               138                      10000           134755          64605           

320X180         9               206                      12000           180727          87548           

320X180         10              359                      13000           233209          265221          

320X180         11              341                      16000           348287          226823          

320X180         12              33                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               51                       0               196223          0               

320X180         2               147                      1000            217286          45587           

320X180         3               301                      2000            613043          203880          

320X180         4               416                      3000            754553          428426          

320X180         5               448                      5000            946170          415257          

320X180         6               450                      7000            190080          717813          

320X180         7               539                      8000            231557          509456          

320X180         8               138                      10000           134755          64605           

320X180         9               217                      12000           180727          87548           

320X180         10              368                      13000           233209          265221          

320X180         11              348                      16000           348287          226823          

320X180         12              33                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               51                       0               196223          0               

320X180         2               146                      1000            217286          45587           

320X180         3               294                      2000            613043          203880          

320X180         4               416                      3000            754553          428426          

320X180         5               453                      5000            946170          415257          

320X180         6               466                      7000            190080          717813          

320X180         7               554                      8000            231557          509456          

320X180         8               144                      10000           134755          64605           

320X180         9               218                      12000           180727          87548           

320X180         10              378                      13000           233209          265221          

320X180         11              347                      16000           348287          226823          

320X180         12              33                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               53                       0               196223          0               

320X180         2               144                      1000            217286          45587           

320X180         3               297                      2000            613043          203880          

320X180         4               411                      3000            754553          428426          

320X180         5               453                      5000            946170          415257          

320X180         6               460                      7000            190080          717813          

320X180         7               538                      8000            231557          509456          

320X180         8               139                      10000           134755          64605           

320X180         9               209                      12000           180727          87548           

320X180         10              370                      13000           233209          265221          

320X180         11              343                      16000           348287          226823          

320X180         12              34                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               53                       0               196223          0               

320X180         2               148                      1000            217286          45587           

320X180         3               296                      2000            613043          203880          

320X180         4               414                      3000            754553          428426          

320X180         5               451                      5000            946170          415257          

320X180         6               460                      7000            190080          717813          

320X180         7               541                      8000            231557          509456          

320X180         8               140                      10000           134755          64605           

320X180         9               208                      12000           180727          87548           

320X180         10              364                      13000           233209          265221          

320X180         11              339                      16000           348287          226823          

320X180         12              34                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               50                       0               196223          0               

320X180         2               148                      1000            217286          45587           

320X180         3               295                      2000            613043          203880          

320X180         4               405                      3000            754553          428426          

320X180         5               456                      5000            946170          415257          

320X180         6               469                      7000            190080          717813          

320X180         7               544                      8000            231557          509456          

320X180         8               136                      10000           134755          64605           

320X180         9               208                      12000           180727          87548           

320X180         10              363                      13000           233209          265221          

320X180         11              344                      16000           348287          226823          

320X180         12              33                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               54                       0               196223          0               

320X180         2               147                      1000            217286          45587           

320X180         3               293                      2000            613043          203880          

320X180         4               418                      3000            754553          428426          

320X180         5               448                      5000            946170          415257          

320X180         6               456                      7000            190080          717813          

320X180         7               540                      8000            231557          509456          

320X180         8               137                      10000           134755          64605           

320X180         9               217                      12000           180727          87548           

320X180         10              366                      13000           233209          265221          

320X180         11              338                      16000           348287          226823          

320X180         12              33                       18000           1593            9824            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               57                       0               196223          0               

320X180         2               145                      1000            217286          45587           

320X180         3               299                      2000            613043          203880          

320X180         4               416                      3000            754553          428426          

320X180         5               448                      5000            946170          415257          

320X180         6               456                      7000            190080          717813          

320X180         7               534                      8000            231557          509456          

320X180         8               137                      10000           134755          64605           

320X180         9               212                      12000           180727          87548           

320X180         10              364                      13000           233209          265221          

320X180         11              340                      16000           348287          226823          

320X180         12              33                       18000           1593            9824            

