Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               3                        0               1418976         0               

320X180         2               130                      385000          3061904         140104          

320X180         3               181                      385000          3086928         251481          

320X180         4               182                      386000          3004720         201008          

320X180         5               181                      387000          2949912         190345          

320X180         6               188                      387000          2990736         154891          

320X180         7               154                      388000          2859976         114008          

320X180         8               158                      388000          3056552         110037          

320X180         9               64                       389000          868120          41126           

320X180         10              94                       389000          1163296         40608           

320X180         11              36                       390000          653008          20677           

320X180         12              147                      390000          2368064         83800           

320X180         13              157                      391000          2455736         78521           

320X180         14              181                      391000          3122424         141260          

320X180         15              177                      392000          3088464         155020          

320X180         16              177                      393000          3069208         160150          

320X180         17              177                      393000          3053472         155741          

320X180         18              180                      394000          3066408         166007          

320X180         19              184                      394000          3038776         152668          

320X180         20              182                      395000          3062872         154071          

320X180         21              172                      396000          3051232         156120          

320X180         22              175                      396000          3064496         161610          

320X180         23              172                      397000          3051592         149677          

320X180         24              178                      398000          3054232         143280          

320X180         25              176                      398000          3054504         151151          

320X180         26              173                      399000          3047856         152090          

320X180         27              174                      399000          3060200         147454          

320X180         28              106                      400000          1657096         88602           

320X180         29              149                      400000          2440288         82324           

320X180         30              155                      401000          2458352         65262           

320X180         31              154                      402000          2553808         59833           

320X180         32              166                      402000          2561368         64347           

320X180         33              159                      403000          2965752         88514           

320X180         34              179                      404000          3245488         192399          

320X180         35              175                      404000          2977616         181354          

320X180         36              173                      405000          3055216         189805          

320X180         37              172                      405000          3046840         184216          

320X180         38              172                      406000          3065256         181277          

320X180         39              173                      407000          3046808         182684          

320X180         40              175                      407000          3032144         190026          

320X180         41              171                      408000          3063160         176991          

320X180         42              173                      409000          3037720         177824          

320X180         43              180                      409000          2996848         122737          

320X180         44              177                      410000          3026064         129472          

320X180         45              177                      410000          3014952         115500          

320X180         46              180                      411000          3065768         117852          

320X180         47              174                      412000          2897432         118647          

320X180         48              165                      412000          2744064         81793           

320X180         49              177                      413000          2846768         94193           

320X180         50              168                      414000          2927312         101585          

320X180         51              180                      414000          3097312         123073          

320X180         52              177                      415000          3072408         132068          

320X180         53              181                      415000          3062976         120760          

320X180         54              169                      416000          3041896         112117          

320X180         55              172                      417000          3024312         106091          

320X180         56              179                      417000          3053936         114787          

320X180         57              175                      418000          3088656         98471           

320X180         58              172                      419000          2936208         112466          

320X180         59              180                      419000          2979208         102376          

320X180         60              171                      420000          2852384         97325           

