Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      
320X180         13              812                      48000           1381017         799252          

320X180         14              553                      57000           1012388         647669          

320X180         15              455                      62000           1054952         659224          

320X180         16              306                      65000           642743          357638          

320X180         17              324                      68000           558540          310687          

320X180         18              994                      71000           1815247         1196879         

320X180         19              980                      81000           1952120         1142614         

320X180         20              203                      91000           210778          207599          

320X180         21              692                      94000           1339076         920864          

320X180         22              417                      101000          204333          333403          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               194                      0               583437          161872          

320X180         2               310                      1000            287397          291988          

320X180         3               268                      5000            497980          254598          

320X180         4               633                      8000            1255763         723963          

320X180         5               133                      14000           177287          120033          

320X180         6               173                      16000           149504          179857          

320X180         7               260                      18000           660657          272387          

320X180         8               916                      20000           2854946         1104821         

320X180         9               895                      24000           1450513         953844          

320X180         10              168                      34000           342982          131922          

320X180         11              600                      36000           643656          589724          

320X180         12              365                      44000           497280          444382          

320X180         13              799                      48000           1381017         799252          

320X180         14              552                      57000           1012388         647669          

320X180         15              441                      62000           1054952         659224          

320X180         16              426                      65000           642743          357638          

320X180         17              370                      68000           558540          310687          

320X180         18              990                      71000           1815247         1196879         

320X180         19              980                      81000           1952120         1142614         

320X180         20              198                      91000           210778          207599          

320X180         21              946                      94000           1339076         920864          

320X180         22              426                      101000          204333          333403          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               175                      0               583437          161872          

320X180         2               320                      1000            287397          291988          

320X180         3               286                      5000            497980          254598          

320X180         4               665                      8000            1255763         723963          

320X180         5               135                      14000           177287          120033          

320X180         6               178                      16000           149504          179857          

320X180         7               269                      18000           660657          272387          

320X180         8               947                      20000           2854946         1104821         

320X180         9               908                      24000           1450513         953844          

320X180         10              168                      34000           342982          131922          

320X180         11              608                      36000           643656          589724          

320X180         12              373                      44000           497280          444382          

320X180         13              821                      48000           1381017         799252          

320X180         14              560                      57000           1012388         647669          

320X180         15              435                      62000           1054952         659224          

320X180         16              307                      65000           642743          357638          

320X180         17              325                      68000           558540          310687          

320X180         18              1031                     71000           1815247         1196879         

320X180         19              1025                     81000           1952120         1142614         

320X180         20              202                      91000           210778          207599          

320X180         21              687                      94000           1339076         920864          

320X180         22              294                      101000          204333          333403          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               172                      0               583437          161872          

320X180         2               319                      1000            287397          291988          

320X180         3               284                      5000            497980          254598          

320X180         4               661                      8000            1255763         723963          

320X180         5               136                      14000           177287          120033          

320X180         6               173                      16000           149504          179857          

320X180         7               273                      18000           660657          272387          

320X180         8               939                      20000           2854946         1104821         

320X180         9               867                      24000           1450513         953844          

320X180         10              166                      34000           342982          131922          

320X180         11              586                      36000           643656          589724          

320X180         12              360                      44000           497280          444382          

320X180         13              794                      48000           1381017         799252          

320X180         14              546                      57000           1012388         647669          

320X180         15              432                      62000           1054952         659224          

320X180         16              300                      65000           642743          357638          

320X180         17              316                      68000           558540          310687          

320X180         18              975                      71000           1815247         1196879         

320X180         19              966                      81000           1952120         1142614         

320X180         20              195                      91000           210778          207599          

320X180         21              664                      94000           1339076         920864          

320X180         22              290                      101000          204333          333403          

