Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               117                      0               487917          0               

320X180         2               226                      1000            519924          144138          

320X180         3               666                      2000            447908          827486          

320X180         4               840                      4000            2422342         618635          

320X180         5               658                      6000            890386          1040550         

320X180         6               966                      7000            578587          1310696         

320X180         7               321                      10000           390558          202701          

320X180         8               409                      11000           655013          384266          

320X180         9               406                      12000           250455          486690          

320X180         10              466                      14000           657300          378271          

320X180         11              319                      16000           138220          428095          

320X180         12              347                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               120                      0               487917          0               

320X180         2               234                      1000            519924          144138          

320X180         3               666                      2000            447908          827486          

320X180         4               822                      4000            2422342         618635          

320X180         5               656                      6000            890386          1040550         

320X180         6               960                      7000            578587          1310696         

320X180         7               311                      10000           390558          202701          

320X180         8               403                      11000           655013          384266          

320X180         9               407                      12000           250455          486690          

320X180         10              471                      14000           657300          378271          

320X180         11              314                      16000           138220          428095          

320X180         12              343                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               125                      0               487917          0               

320X180         2               225                      1000            519924          144138          

320X180         3               666                      2000            447908          827486          

320X180         4               830                      4000            2422342         618635          

320X180         5               674                      6000            890386          1040550         

320X180         6               1086                     7000            578587          1310696         

320X180         7               361                      10000           390558          202701          

320X180         8               526                      11000           655013          384266          

320X180         9               421                      12000           250455          486690          

320X180         10              477                      14000           657300          378271          

320X180         11              318                      16000           138220          428095          

320X180         12              349                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               122                      0               487917          0               

320X180         2               235                      1000            519924          144138          

320X180         3               701                      2000            447908          827486          

320X180         4               853                      4000            2422342         618635          

320X180         5               676                      6000            890386          1040550         

320X180         6               1005                     7000            578587          1310696         

320X180         7               331                      10000           390558          202701          

320X180         8               416                      11000           655013          384266          

320X180         9               407                      12000           250455          486690          

320X180         10              459                      14000           657300          378271          

320X180         11              313                      16000           138220          428095          

320X180         12              337                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               116                      0               487917          0               

320X180         2               225                      1000            519924          144138          

320X180         3               671                      2000            447908          827486          

320X180         4               824                      4000            2422342         618635          

320X180         5               651                      6000            890386          1040550         

320X180         6               965                      7000            578587          1310696         

320X180         7               326                      10000           390558          202701          

320X180         8               408                      11000           655013          384266          

320X180         9               401                      12000           250455          486690          

320X180         10              466                      14000           657300          378271          

320X180         11              309                      16000           138220          428095          

320X180         12              339                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               119                      0               487917          0               

320X180         2               231                      1000            519924          144138          

320X180         3               685                      2000            447908          827486          

320X180         4               822                      4000            2422342         618635          

320X180         5               662                      6000            890386          1040550         

320X180         6               968                      7000            578587          1310696         

320X180         7               319                      10000           390558          202701          

320X180         8               412                      11000           655013          384266          

320X180         9               420                      12000           250455          486690          

320X180         10              477                      14000           657300          378271          

320X180         11              321                      16000           138220          428095          

320X180         12              349                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               118                      0               487917          0               

320X180         2               229                      1000            519924          144138          

320X180         3               688                      2000            447908          827486          

320X180         4               833                      4000            2422342         618635          

320X180         5               651                      6000            890386          1040550         

320X180         6               966                      7000            578587          1310696         

320X180         7               310                      10000           390558          202701          

320X180         8               405                      11000           655013          384266          

320X180         9               415                      12000           250455          486690          

320X180         10              470                      14000           657300          378271          

320X180         11              313                      16000           138220          428095          

320X180         12              336                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               121                      0               487917          0               

320X180         2               233                      1000            519924          144138          

320X180         3               702                      2000            447908          827486          

320X180         4               836                      4000            2422342         618635          

320X180         5               652                      6000            890386          1040550         

320X180         6               977                      7000            578587          1310696         

320X180         7               315                      10000           390558          202701          

320X180         8               411                      11000           655013          384266          

320X180         9               416                      12000           250455          486690          

320X180         10              475                      14000           657300          378271          

320X180         11              317                      16000           138220          428095          

320X180         12              348                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               121                      0               487917          0               

320X180         2               233                      1000            519924          144138          

320X180         3               685                      2000            447908          827486          

320X180         4               846                      4000            2422342         618635          

320X180         5               674                      6000            890386          1040550         

320X180         6               979                      7000            578587          1310696         

320X180         7               322                      10000           390558          202701          

320X180         8               416                      11000           655013          384266          

320X180         9               404                      12000           250455          486690          

320X180         10              473                      14000           657300          378271          

320X180         11              316                      16000           138220          428095          

320X180         12              351                      17000           289158          320070          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               120                      0               487917          0               

320X180         2               232                      1000            519924          144138          

320X180         3               676                      2000            447908          827486          

320X180         4               830                      4000            2422342         618635          

320X180         5               647                      6000            890386          1040550         

320X180         6               948                      7000            578587          1310696         

320X180         7               315                      10000           390558          202701          

320X180         8               405                      11000           655013          384266          

320X180         9               403                      12000           250455          486690          

320X180         10              465                      14000           657300          378271          

320X180         11              314                      16000           138220          428095          

320X180         12              346                      17000           289158          320070          

