Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               220                      0               587572          38494           

320X180         2               494                      1000            611830          528995          

320X180         3               570                      3000            106897          746572          

320X180         4               269                      4000            332454          181968          

320X180         5               303                      5000            327102          223973          

320X180         6               657                      7000            437725          799554          

320X180         7               835                      8000            576592          910747          

320X180         8               836                      10000           466881          1005765         

320X180         9               732                      13000           1118472         626050          

320X180         10              696                      15000           525937          976841          

320X180         11              930                      16000           792910          528086          

320X180         12              948                      18000           659349          979472          

320X180         13              444                      20000           810200          327579          

320X180         14              690                      22000           671828          684561          

320X180         15              853                      23000           361761          1159043         

320X180         16              318                      25000           565995          190479          

320X180         17              465                      26000           276157          517003          

320X180         18              594                      27000           848709          489326          

320X180         19              562                      28000           620053          576347          

320X180         20              798                      29000           952145          759532          

320X180         21              508                      31000           368201          611774          

320X180         22              818                      32000           668109          998539          

320X180         23              662                      34000           871042          658665          

320X180         24              722                      35000           964527          652398          

320X180         25              526                      36000           424161          634071          

320X180         26              710                      38000           919755          691834          

320X180         27              697                      39000           668033          711773          

320X180         28              610                      40000           397926          550177          

320X180         29              498                      42000           349954          418107          

320X180         30              551                      43000           442978          421080          

320X180         31              136                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               226                      0               587572          38494           

320X180         2               514                      1000            611830          528995          

320X180         3               585                      3000            106897          746572          

320X180         4               273                      4000            332454          181968          

320X180         5               298                      5000            327102          223973          

320X180         6               657                      7000            437725          799554          

320X180         7               846                      8000            576592          910747          

320X180         8               835                      10000           466881          1005765         

320X180         9               734                      13000           1118472         626050          

320X180         10              688                      15000           525937          976841          

320X180         11              642                      16000           792910          528086          

320X180         12              883                      18000           659349          979472          

320X180         13              444                      20000           810200          327579          

320X180         14              678                      22000           671828          684561          

320X180         15              851                      23000           361761          1159043         

320X180         16              313                      25000           565995          190479          

320X180         17              445                      26000           276157          517003          

320X180         18              556                      27000           848709          489326          

320X180         19              531                      28000           620053          576347          

320X180         20              756                      29000           952145          759532          

320X180         21              484                      31000           368201          611774          

320X180         22              856                      32000           668109          998539          

320X180         23              694                      34000           871042          658665          

320X180         24              722                      35000           964527          652398          

320X180         25              524                      36000           424161          634071          

320X180         26              720                      38000           919755          691834          

320X180         27              713                      39000           668033          711773          

320X180         28              612                      40000           397926          550177          

320X180         29              485                      42000           349954          418107          

320X180         30              548                      43000           442978          421080          

320X180         31              137                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               236                      0               587572          38494           

320X180         2               513                      1000            611830          528995          

320X180         3               584                      3000            106897          746572          

320X180         4               275                      4000            332454          181968          

320X180         5               311                      5000            327102          223973          

320X180         6               691                      7000            437725          799554          

320X180         7               858                      8000            576592          910747          

320X180         8               865                      10000           466881          1005765         

320X180         9               732                      13000           1118472         626050          

320X180         10              685                      15000           525937          976841          

320X180         11              654                      16000           792910          528086          

320X180         12              875                      18000           659349          979472          

320X180         13              451                      20000           810200          327579          

320X180         14              696                      22000           671828          684561          

320X180         15              865                      23000           361761          1159043         

320X180         16              320                      25000           565995          190479          

320X180         17              475                      26000           276157          517003          

320X180         18              676                      27000           848709          489326          

320X180         19              557                      28000           620053          576347          

320X180         20              791                      29000           952145          759532          

320X180         21              506                      31000           368201          611774          

320X180         22              865                      32000           668109          998539          

320X180         23              693                      34000           871042          658665          

320X180         24              735                      35000           964527          652398          

320X180         25              543                      36000           424161          634071          

320X180         26              728                      38000           919755          691834          

320X180         27              698                      39000           668033          711773          

320X180         28              615                      40000           397926          550177          

320X180         29              493                      42000           349954          418107          

320X180         30              555                      43000           442978          421080          

320X180         31              140                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               231                      0               587572          38494           

320X180         2               515                      1000            611830          528995          

320X180         3               585                      3000            106897          746572          

320X180         4               274                      4000            332454          181968          

320X180         5               313                      5000            327102          223973          

320X180         6               691                      7000            437725          799554          

320X180         7               887                      8000            576592          910747          

320X180         8               882                      10000           466881          1005765         

320X180         9               752                      13000           1118472         626050          

320X180         10              702                      15000           525937          976841          

320X180         11              655                      16000           792910          528086          

320X180         12              892                      18000           659349          979472          

320X180         13              450                      20000           810200          327579          

320X180         14              695                      22000           671828          684561          

320X180         15              1297                     23000           361761          1159043         

320X180         16              320                      25000           565995          190479          

320X180         17              470                      26000           276157          517003          

320X180         18              595                      27000           848709          489326          

320X180         19              558                      28000           620053          576347          

320X180         20              791                      29000           952145          759532          

320X180         21              512                      31000           368201          611774          

320X180         22              878                      32000           668109          998539          

320X180         23              698                      34000           871042          658665          

320X180         24              734                      35000           964527          652398          

320X180         25              535                      36000           424161          634071          

320X180         26              719                      38000           919755          691834          

320X180         27              710                      39000           668033          711773          

320X180         28              624                      40000           397926          550177          

320X180         29              496                      42000           349954          418107          

320X180         30              567                      43000           442978          421080          

320X180         31              141                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               243                      0               587572          38494           

320X180         2               534                      1000            611830          528995          

320X180         3               593                      3000            106897          746572          

320X180         4               279                      4000            332454          181968          

320X180         5               317                      5000            327102          223973          

320X180         6               708                      7000            437725          799554          

320X180         7               894                      8000            576592          910747          

320X180         8               896                      10000           466881          1005765         

320X180         9               764                      13000           1118472         626050          

320X180         10              712                      15000           525937          976841          

320X180         11              657                      16000           792910          528086          

320X180         12              894                      18000           659349          979472          

320X180         13              447                      20000           810200          327579          

320X180         14              687                      22000           671828          684561          

320X180         15              859                      23000           361761          1159043         

320X180         16              321                      25000           565995          190479          

320X180         17              472                      26000           276157          517003          

320X180         18              597                      27000           848709          489326          

320X180         19              560                      28000           620053          576347          

320X180         20              794                      29000           952145          759532          

320X180         21              512                      31000           368201          611774          

320X180         22              882                      32000           668109          998539          

320X180         23              698                      34000           871042          658665          

320X180         24              736                      35000           964527          652398          

320X180         25              536                      36000           424161          634071          

320X180         26              724                      38000           919755          691834          

320X180         27              714                      39000           668033          711773          

320X180         28              628                      40000           397926          550177          

320X180         29              501                      42000           349954          418107          

320X180         30              566                      43000           442978          421080          

320X180         31              140                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               237                      0               587572          38494           

320X180         2               531                      1000            611830          528995          

320X180         3               597                      3000            106897          746572          

320X180         4               282                      4000            332454          181968          

320X180         5               318                      5000            327102          223973          

320X180         6               717                      7000            437725          799554          

320X180         7               905                      8000            576592          910747          

320X180         8               904                      10000           466881          1005765         

320X180         9               771                      13000           1118472         626050          

320X180         10              723                      15000           525937          976841          

320X180         11              667                      16000           792910          528086          

320X180         12              899                      18000           659349          979472          

320X180         13              448                      20000           810200          327579          

320X180         14              694                      22000           671828          684561          

320X180         15              871                      23000           361761          1159043         

320X180         16              328                      25000           565995          190479          

320X180         17              479                      26000           276157          517003          

320X180         18              607                      27000           848709          489326          

320X180         19              566                      28000           620053          576347          

320X180         20              798                      29000           952145          759532          

320X180         21              512                      31000           368201          611774          

320X180         22              884                      32000           668109          998539          

320X180         23              703                      34000           871042          658665          

320X180         24              730                      35000           964527          652398          

320X180         25              536                      36000           424161          634071          

320X180         26              726                      38000           919755          691834          

320X180         27              712                      39000           668033          711773          

320X180         28              624                      40000           397926          550177          

320X180         29              498                      42000           349954          418107          

320X180         30              561                      43000           442978          421080          

320X180         31              139                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               236                      0               587572          38494           

320X180         2               530                      1000            611830          528995          

320X180         3               599                      3000            106897          746572          

320X180         4               281                      4000            332454          181968          

320X180         5               319                      5000            327102          223973          

320X180         6               713                      7000            437725          799554          

320X180         7               898                      8000            576592          910747          

320X180         8               901                      10000           466881          1005765         

320X180         9               770                      13000           1118472         626050          

320X180         10              723                      15000           525937          976841          

320X180         11              670                      16000           792910          528086          

320X180         12              901                      18000           659349          979472          

320X180         13              447                      20000           810200          327579          

320X180         14              698                      22000           671828          684561          

320X180         15              870                      23000           361761          1159043         

320X180         16              416                      25000           565995          190479          

320X180         17              868                      26000           276157          517003          

320X180         18              603                      27000           848709          489326          

320X180         19              564                      28000           620053          576347          

320X180         20              797                      29000           952145          759532          

320X180         21              514                      31000           368201          611774          

320X180         22              882                      32000           668109          998539          

320X180         23              701                      34000           871042          658665          

320X180         24              738                      35000           964527          652398          

320X180         25              541                      36000           424161          634071          

320X180         26              727                      38000           919755          691834          

320X180         27              715                      39000           668033          711773          

320X180         28              625                      40000           397926          550177          

320X180         29              497                      42000           349954          418107          

320X180         30              563                      43000           442978          421080          

320X180         31              139                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               236                      0               587572          38494           

320X180         2               531                      1000            611830          528995          

320X180         3               601                      3000            106897          746572          

320X180         4               284                      4000            332454          181968          

320X180         5               319                      5000            327102          223973          

320X180         6               717                      7000            437725          799554          

320X180         7               905                      8000            576592          910747          

320X180         8               915                      10000           466881          1005765         

320X180         9               773                      13000           1118472         626050          

320X180         10              722                      15000           525937          976841          

320X180         11              666                      16000           792910          528086          

320X180         12              901                      18000           659349          979472          

320X180         13              453                      20000           810200          327579          

320X180         14              696                      22000           671828          684561          

320X180         15              875                      23000           361761          1159043         

320X180         16              321                      25000           565995          190479          

320X180         17              477                      26000           276157          517003          

320X180         18              608                      27000           848709          489326          

320X180         19              567                      28000           620053          576347          

320X180         20              784                      29000           952145          759532          

320X180         21              514                      31000           368201          611774          

320X180         22              880                      32000           668109          998539          

320X180         23              705                      34000           871042          658665          

320X180         24              742                      35000           964527          652398          

320X180         25              541                      36000           424161          634071          

320X180         26              735                      38000           919755          691834          

320X180         27              710                      39000           668033          711773          

320X180         28              626                      40000           397926          550177          

320X180         29              500                      42000           349954          418107          

320X180         30              568                      43000           442978          421080          

320X180         31              142                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               238                      0               587572          38494           

320X180         2               540                      1000            611830          528995          

320X180         3               605                      3000            106897          746572          

320X180         4               288                      4000            332454          181968          

320X180         5               325                      5000            327102          223973          

320X180         6               717                      7000            437725          799554          

320X180         7               904                      8000            576592          910747          

320X180         8               907                      10000           466881          1005765         

320X180         9               775                      13000           1118472         626050          

320X180         10              728                      15000           525937          976841          

320X180         11              665                      16000           792910          528086          

320X180         12              905                      18000           659349          979472          

320X180         13              452                      20000           810200          327579          

320X180         14              702                      22000           671828          684561          

320X180         15              878                      23000           361761          1159043         

320X180         16              328                      25000           565995          190479          

320X180         17              481                      26000           276157          517003          

320X180         18              604                      27000           848709          489326          

320X180         19              565                      28000           620053          576347          

320X180         20              798                      29000           952145          759532          

320X180         21              512                      31000           368201          611774          

320X180         22              883                      32000           668109          998539          

320X180         23              701                      34000           871042          658665          

320X180         24              743                      35000           964527          652398          

320X180         25              545                      36000           424161          634071          

320X180         26              733                      38000           919755          691834          

320X180         27              708                      39000           668033          711773          

320X180         28              626                      40000           397926          550177          

320X180         29              498                      42000           349954          418107          

320X180         30              551                      43000           442978          421080          

320X180         31              137                      44000           207251          90911           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               234                      0               587572          38494           

320X180         2               530                      1000            611830          528995          

320X180         3               593                      3000            106897          746572          

320X180         4               280                      4000            332454          181968          

320X180         5               315                      5000            327102          223973          

320X180         6               702                      7000            437725          799554          

320X180         7               904                      8000            576592          910747          

320X180         8               900                      10000           466881          1005765         

320X180         9               770                      13000           1118472         626050          

320X180         10              720                      15000           525937          976841          

320X180         11              659                      16000           792910          528086          

320X180         12              902                      18000           659349          979472          

320X180         13              450                      20000           810200          327579          

320X180         14              694                      22000           671828          684561          

320X180         15              871                      23000           361761          1159043         

320X180         16              329                      25000           565995          190479          

320X180         17              481                      26000           276157          517003          

320X180         18              866                      27000           848709          489326          

320X180         19              759                      28000           620053          576347          

320X180         20              801                      29000           952145          759532          

320X180         21              512                      31000           368201          611774          

320X180         22              884                      32000           668109          998539          

320X180         23              705                      34000           871042          658665          

320X180         24              741                      35000           964527          652398          

320X180         25              542                      36000           424161          634071          

320X180         26              731                      38000           919755          691834          

320X180         27              716                      39000           668033          711773          

320X180         28              633                      40000           397926          550177          

320X180         29              502                      42000           349954          418107          

320X180         30              564                      43000           442978          421080          

320X180         31              141                      44000           207251          90911           

