Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               207                      0               423985          37906           

320X180         2               489                      2000            610060          309624          

320X180         3               591                      3000            343114          614248          

320X180         4               363                      5000            231074          347202          

320X180         5               359                      7000            371014          192698          

320X180         6               814                      8000            814905          836231          

320X180         7               468                      11000           277186          524915          

320X180         8               451                      12000           383462          369723          

320X180         9               456                      14000           329132          443170          

320X180         10              1015                     16000           833752          885430          

320X180         11              1899                     20000           2099540         2009506         

320X180         12              474                      25000           539405          365852          

320X180         13              576                      27000           654846          480392          

320X180         14              496                      29000           473374          598158          

320X180         15              1054                     31000           996252          981686          

320X180         16              1454                     34000           454088          1082357         

320X180         17              925                      42000           968391          676987          

320X180         18              575                      45000           218652          754975          

320X180         19              812                      47000           434692          833453          

320X180         20              1825                     50000           2891087         1673068         

320X180         21              868                      55000           837273          923620          

320X180         22              1030                     58000           737742          892270          

320X180         23              687                      62000           797615          649542          

320X180         24              1213                     64000           958251          1446012         

320X180         25              939                      67000           710126          1045251         

320X180         26              1136                     69000           1025744         1213595         

320X180         27              686                      72000           219435          921607          

320X180         28              3310                     73000           2945822         3042750         

320X180         29              888                      83000           664582          710028          

320X180         30              727                      86000           516766          645697          

320X180         31              4081                     89000           3774517         3613709         

320X180         32              2504                     99000           2621502         2568452         

320X180         33              3531                     105000          4303886         3100664         

320X180         34              2253                     115000          2142660         2249399         

320X180         35              274                      121000          453665          139537          

320X180         36              490                      122000          382504          427351          

320X180         37              444                      125000          459263          163734          

320X180         38              534                      128000          470892          302623          

320X180         39              1521                     131000          727210          705093          

320X180         40              311                      140000          529861          129979          

320X180         41              385                      142000          171856          334677          

320X180         42              216                      144000          194693          57352           

320X180         43              500                      146000          436528          317436          

320X180         44              232                      148000          269624          119827          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               197                      0               423985          37906           

320X180         2               469                      2000            610060          309624          

320X180         3               595                      3000            343114          614248          

